MA,V,Visa_Inc.,Mastercard,Visa_z,MA_z,Visa_7_day_profit,MA_7_day_profit
539.1651611328125,341.76312255859375,1467,971,,,-10.409454345703125,-19.0574951171875
554.256103515625,349.5975646972656,1700,1126,,,-7.188201904296875,-11.6412353515625
546.4720458984375,343.2643737792969,1517,1027,,,-11.314239501953125,-15.3294677734375
542.6049194335938,344.02996826171875,1404,1010,,,-8.470703125,-16.5323486328125
547.0885009765625,346.5950012207031,1406,970,,,-9.09716796875,-15.4632568359375
558.6401977539062,352.9977722167969,1444,1025,,,-0.82525634765625,-2.3287353515625
561.29443359375,353.41534423828125,1549,886,,,7.49639892578125,13.6051025390625
558.22265625,352.1725769042969,1386,893,,,3.698486328125,7.7061767578125
565.8973388671875,356.7857666015625,1354,995,,,11.77154541015625,18.02880859375
561.801513671875,354.57861328125,1197,909,,,6.7010498046875,8.79638671875
559.1372680664062,352.50067138671875,1323,972,,,4.71258544921875,6.04254150390625
562.5517578125,355.6921691894531,1316,1073,,,8.659698486328125,12.3936767578125
560.9689331054688,353.8230285644531,1488,1020,,,4.911468505859375,8.829833984375
547.6893310546875,345.9189453125,1492,925,,,-3.907257080078125,-8.54119873046875
550.5164794921875,348.4740905761719,1400,1040,,,-4.7623291015625,-9.02899169921875
547.8685302734375,345.01422119140625,1571,1016,,,-6.909820556640625,-13.0804443359375
553.005126953125,347.8775634765625,2126,1658,,,-7.098724365234375,-12.64251708984375
553.0947265625,347.7880859375,2040,1586,,,-5.62725830078125,-12.6126708984375
550.1580810546875,347.032470703125,2012,1686,,,-2.227081298828125,-10.61175537109375
552.1390991210938,348.91156005859375,1728,1357,,,0.029815673828125,-4.4398193359375
556.2305297851562,349.8262023925781,1736,1428,,,6.35302734375,-7.67498779296875
559.5454711914062,353.2364196777344,1761,1390,0.7473896166495877,1.217074479036983,15.847869873046875,2.19012451171875
560.948974609375,351.9240417480469,3390,3080,5.474838714836115,6.066847162962194,11.751678466796875,-6.28143310546875
565.6476440429688,354.9762878417969,2874,2262,3.3711706241171338,3.0848948507895892,19.49664306640625,2.17010498046875
565.7073974609375,353.41534423828125,2419,1835,1.9949255619337865,1.7661812323333508,15.639068603515625,-0.84613037109375
560.7698364257812,349.2595520019531,2801,1994,2.7441031102843434,2.0844034839285346,19.08905029296875,2.0904541015625
